Anummer;verzendendePartij
1401016801;4501
3040101049;4501
3040101490;4501
3040101526;4501
3040101832;4501
3040101978;4501
3040102057;4501
3040102192;4501
3040102363;4501
3040102534;4501
3040102705;4501
5015056074;2548
5010653198;2548
5015289545;2548
5032723128;2548
5035031916;2548
5039483728;2548
5039736868;2548
5041954280;2548
5043817820;2548
5049423812;2548
5050607384;2548
5051701068;2548
5052939416;2548
5053239584;2548
5053892912;2548
5054563820;2548
5058420540;2548
5059691428;2548
5060528516;2548
5064592124;2548
5061570108;2548
5061938764;2548
5062479196;2548
5063024760;2548
5063612640;2548
5063951252;2548
5067108272;2548
5067267952;2548
5068172040;2548
5068565248;2548
5068910360;2548
5068947376;2548
5071549832;2548
5071716312;2548
5072018984;2548
5073916256;2548
5074281872;2548
5074302912;2548
2349619690;2548
2317460546;2548
2385856250;2548
2391742858;2548
2325471596;2548
2370936530;2548
2368734682;2548
2323596982;2548
2350821534;2548
2372427218;2548
2367364562;2548
2353674898;2548
2364637978;2548
2363836250;2548
2327973434;2548
2316163650;2548
2307248435;2548
2386217130;2548
1401017161;2548
2389851634;2548
2356805202;2548
4095604592;2548
4021282012;2548
4016758913;2548
4051693140;2548
4034957804;2548
4025482964;2548
2329632674;2548
2384506730;2548
2340965306;2548
2347607078;2548
4072868072;2548
4031370342;2548
4027171952;2548
4026164352;2548
4091501016;2548
2343819062;2548
2354359798;2548
2364047594;2548
2356050890;2548
2329302638;2548
4097534296;2548
4051057560;2548
4074305096;2548
2369394058;2548
2321071056;2548
2386830586;2548
2326346502;2548
2351058590;2548
2362651658;2548
4045929308;2548
4074578680;2548
2360585126;2548
2347374102;2548
2317484276;2548
2340396386;2548
2349120150;2548
2347275314;2548
2341347810;2548
2315835902;2548
4036195320;2548
4082748976;2548
4025890768;2548
4046454836;2548
2342737286;2548
2378640170;2548
2357340810;2548
2346453854;2548
2347596314;2548
2387468506;2548
2375627138;2548
2319767414;2548
2353961294;2548
2327414582;2548
2318726270;2548
2362029090;2548
4029809732;2548
4098195784;2548
4026385862;2548
4086829016;2548
2304303453;2548
2383253954;2548
2360154746;2548
2359652642;2548
2340179250;2548
2328590726;2548
2328658294;2548
2392946938;2548
2318518046;2548
2347680102;2548
4079606368;2548
4054752092;2548
4010761482;2548
2343829634;2548
2364361658;2548
2389076210;2548
2348584154;2548
2319348518;2548
2378910602;2548
4031827586;2548
4038796048;2548
2327069816;2548
6013167059;2548
6018926204;2548
6024716138;2548
6028769218;2548
6042745172;2548
6048954652;2548
6058029284;2548
6059125136;2548
6064281692;2548
6068704184;2548
6070542464;2548
6070790360;2548
6074863280;2548
6078280864;2548
6078371624;2548
6081380192;2548
6082868656;2548
6087278056;2548
6083410704;2548
6086056520;2548
6094161584;2548
6089527192;2548
6091083632;2548
6101424816;2548
6095217680;2548
6097519016;2548
6120194816;2548
6102471896;2548
6104907584;2548
6120746896;2548
6123146960;2548
6124873232;2548
6127614584;2548
6127619656;2548
6132313680;2548
6141578368;2548
6136907296;2548
6141254960;2548
6142373840;2548
6143707136;2548
6145894912;2548
6152452832;2548
6154862896;2548
6156371360;2548
6168652352;2548
6169835872;2548
6175817216;2548
6189172352;2548
2371471490;2548
2327621678;2548
2323871468;2548
2308760313;2548
2329150598;2548
2342346578;2548
2376549298;2548
2372717130;2548
2378729434;2548
2387328434;2548
2309876201;2548
2318280450;2548
2352735146;2548
4021460826;2548
4079507624;2548
4018234736;2548
4020312870;2548
4018104398;2548
4059435284;2548
4024752324;2548
4029521316;2548
4045716584;2548
4035727460;8086
4015808052;8086
4024707342;8086
4067863712;8086
4034636156;8086
4059292020;8086
4080591656;8086
4093948408;8086
4019180262;8086
4053432048;8086
4045717592;8086
4065430916;8086
4027923656;8086
4017035616;8086
4068160856;8086
4087543648;8086
4070414760;8086
4021480298;8086
4036349672;8086
4085796104;8086
4095016256;8086
2310747806;8086
2307895384;8086
2326120976;8086
2368929754;8086
2321646360;8086
2324043546;8086
2373707018;8086
2364256858;8086
2370710250;8086
2356948750;8086
2314853124;8086
2358392962;8086
2386537690;8086
2382340218;8086
2365965634;8086
2302323840;8086
2392469450;8086
2365727818;8086
2314721076;8086
2367929290;8086
2391802490;8086
2387238682;8086
2368541546;8086
2316367910;8086
2325430314;8086
2318026236;8086
2373101730;8086
2381595074;8086
2363528690;8086
2324189702;8086
2342652126;8086
2325640736;8086
2391487618;8086
2324965486;8086
2308076403;8086
2368085674;8086
2353458314;8086
2343416910;8086
2382468682;8086
4021905642;8086
4093478432;8086
5065187156;8086
2425983032;8086
5065187156;8086
5081297872;8086
5081478952;8086
5081895832;8086
5082610128;8086
5082817256;8086
